Burkholderia dolosa PC543	1:NZ_CM002277.1/CM002277.1	2:NZ_CM002278.1/CM002278.1	3:NZ_CM002279.1/CM002279.1					
Burkholderia pseudomallei MSHR435	1:NZ_CM003019.1/CM003019.1	2:NZ_CM003020.1/CM003020.1						
Burkholderia humptydooensis	1:NZ_CM003626.1/CM003626.1	2:NZ_CM003627.1/CM003627.1						
Burkholderia ubonensis	1:NZ_CM003771.1/CM003771.1	2:NZ_CM003772.1/CM003772.1						
Burkholderia territorii	1:NZ_CM004191.1/CM004191.1	2:NZ_CM004192.1/CM004192.1	3:NZ_CM004193.1/CM004193.1					
Burkholderia glumae PG1	1:NZ_CP002580.1/CP002580.1	2:NZ_CP002581.1/CP002581.1						
Flammeovirga sp. MY04	1:NZ_CP003560.1/CP003560.1	2:NZ_CP003561.1/CP003561.1						
Burkholderia thailandensis H0587	1:NZ_CP004089.1/CP004089.1	2:NZ_CP004090.1/CP004090.1						
Burkholderia thailandensis 2002721723	1:NZ_CP004097.1/CP004097.1	2:NZ_CP004098.1/CP004098.1						
Burkholderia thailandensis E444	1:NZ_CP004117.1/CP004117.1	2:NZ_CP004118.1/CP004118.1						
Burkholderia pseudomallei NAU35A-3	1:NZ_CP004377.1/CP004377.1	2:NZ_CP004378.1/CP004378.1						
Burkholderia pseudomallei 1026b	1:NZ_CP004379.1/CP004379.1	2:NZ_CP004380.1/CP004380.1						
Burkholderia thailandensis E254	1:NZ_CP004381.1/CP004381.1	2:NZ_CP004382.1/CP004382.1						
Burkholderia thailandensis USAMRU Malaysia #20	1:NZ_CP004383.1/CP004383.1	2:NZ_CP004384.1/CP004384.1						
Burkholderia thailandensis MSMB59	1:NZ_CP004385.1/CP004385.1	2:NZ_CP004386.1/CP004386.1						
Sphingobium sp. TKS	1:NZ_CP005083.1/CP005083.1	2:NZ_CP005084.1/CP005084.1						
Sphingobium sp. MI1205	1:NZ_CP005188.1/CP005188.1	2:NZ_CP005189.1/CP005189.1						
Photobacterium gaetbulicola Gung47	1:NZ_CP005973.1/CP005973.1	2:NZ_CP005974.1/CP005974.1						
Leptospira interrogans serovar Linhai str. 56609	1:NZ_CP006723.1/CP006723.1	2:NZ_CP006724.1/CP006724.1						
Vibrio parahaemolyticus UCM-V493	1:NZ_CP007004.1/CP007004.1	2:NZ_CP007005.1/CP007005.1						
Fusobacterium nucleatum subsp. vincentii 3_1_27	1:NZ_CP007064.1/CP007064.1	2:NZ_CP007065.1/CP007065.1						
Burkholderia plantarii	1:NZ_CP007212.1/CP007212.1	2:NZ_CP007213.1/CP007213.1						
Ensifer adhaerens OV14	1:NZ_CP007236.1/CP007236.1	2:NZ_CP007237.1/CP007237.1						
Vibrio cholerae	1:NZ_CP007634.1/CP007634.1	2:NZ_CP007635.1/CP007635.1						
Brucella abortus	1:NZ_CP007663.1/CP007663.1	2:NZ_CP007662.1/CP007662.1						
Brucella abortus	1:NZ_CP007681.1/CP007681.1	2:NZ_CP007680.1/CP007680.1						
Brucella abortus	1:NZ_CP007682.1/CP007682.1	2:NZ_CP007683.1/CP007683.1						
Brucella abortus	1:NZ_CP007700.1/CP007700.1	2:NZ_CP007701.1/CP007701.1						
Brucella abortus bv. 9 str. C68	1:NZ_CP007705.1/CP007705.1	2:NZ_CP007706.1/CP007706.1						
Brucella abortus	1:NZ_CP007707.1/CP007707.1	2:NZ_CP007708.1/CP007708.1						
Brucella abortus bv. 6 str. 870	1:NZ_CP007709.1/CP007709.1	2:NZ_CP007710.1/CP007710.1						
Brucella suis	1:NZ_CP007717.1/CP007717.1	2:NZ_CP007716.1/CP007716.1						
Brucella suis bv. 3 str. 686	1:NZ_CP007719.1/CP007719.1	2:NZ_CP007718.1/CP007718.1						
Brucella abortus	1:NZ_CP007738.1/CP007738.1	2:NZ_CP007737.1/CP007737.1						
Brucella pinnipedialis	1:NZ_CP007743.1/CP007743.1	2:NZ_CP007742.1/CP007742.1						
Brucella canis	1:NZ_CP007758.1/CP007758.1	2:NZ_CP007759.1/CP007759.1						
Brucella melitensis bv. 3 str. Ether	1:NZ_CP007760.1/CP007760.1	2:NZ_CP007761.1/CP007761.1						
Brucella melitensis bv. 1 str. 16M	1:NZ_CP007763.1/CP007763.1	2:NZ_CP007762.1/CP007762.1						
Brucella abortus bv. 2 str. 86/8/59	1:NZ_CP007765.1/CP007765.1	2:NZ_CP007764.1/CP007764.1						
Burkholderia cenocepacia	1:NZ_CP007781.1/CP007781.1	2:NZ_CP007780.1/CP007780.1	3:NZ_CP007779.1/CP007779.1					
Burkholderia cenocepacia	1:NZ_CP007783.1/CP007783.1	2:NZ_CP007784.1/CP007784.1	3:NZ_CP007782.1/CP007782.1					
Brucella melitensis bv. 2 str. 63/9	1:NZ_CP007789.1/CP007789.1	2:NZ_CP007788.1/CP007788.1						
Burkholderia mallei NCTC 10247	1:NZ_CP007802.1/CP007802.1	2:NZ_CP007801.1/CP007801.1						
Burkholderia mallei	1:NZ_CP008704.1/CP008704.1	2:NZ_CP008705.1/CP008705.1						
Burkholderia mallei	1:NZ_CP008711.1/CP008711.1	2:NZ_CP008710.1/CP008710.1						
Burkholderia mallei	1:NZ_CP008723.1/CP008723.1	2:NZ_CP008722.1/CP008722.1						
Burkholderia oklahomensis	1:NZ_CP008726.1/CP008726.1	2:NZ_CP008727.1/CP008727.1						
Burkholderia multivorans	1:NZ_CP008730.1/CP008730.1	2:NZ_CP008729.1/CP008729.1	3:NZ_CP008728.1/CP008728.1					
Burkholderia mallei	1:NZ_CP008732.1/CP008732.2	2:NZ_CP008731.1/CP008731.2						
Brucella melitensis	1:NZ_CP008750.1/CP008750.1	2:NZ_CP008751.1/CP008751.1						
Brucella suis	1:NZ_CP008757.1/CP008757.1	2:NZ_CP008756.1/CP008756.1						
Burkholderia pseudomallei	1:NZ_CP008758.1/CP008758.1	2:NZ_CP008759.1/CP008759.1						
